epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5054,1.49788,3.37966,1.5834,0.00395,0.86842,0.11116,0.07576,0.8761,3.54142,1.16936,5.001e-05,5.001e-05,5.001e-05
2,68.0163,1.35054,3.21572,1.55295,0.00528,0.9386,0.24984,0.17607,1.07985,3.56533,1.2545,0.000114359,0.000114359,0.000114359
3,98.7861,1.21486,2.72426,1.38772,0.00628,0.96491,0.2712,0.16683,1.18577,3.5527,1.32055,0.000176043,0.000176043,0.000176043
4,130.337,1.39304,2.30239,1.43622,0.00691,0.97368,0.2839,0.16033,1.32784,3.41065,1.39195,0.000235062,0.000235062,0.000235062
5,161.151,1.19173,1.90253,1.35316,0.00684,0.94737,0.40614,0.25246,1.39648,3.21798,1.39786,0.000291417,0.000291417,0.000291417
6,189.843,1.22308,2.11349,1.4474,1,0.04148,0.41097,0.24832,1.40254,3.21947,1.40779,0.000345107,0.000345107,0.000345107
7,218.611,1.28377,1.79064,1.3887,1,0.07267,0.37265,0.23254,1.29612,3.16623,1.33085,0.000396133,0.000396133,0.000396133
8,248.094,1.273,1.70328,1.33255,0.88553,0.14778,0.35355,0.23486,1.24144,3.00464,1.33176,0.000444495,0.000444495,0.000444495
9,276.157,1.16756,1.62764,1.28984,0.91979,0.18365,0.35969,0.23225,1.15701,2.88968,1.267,0.000490191,0.000490191,0.000490191
10,307.855,1.13714,1.83608,1.41604,1,0.15436,0.35437,0.26392,1.06204,2.94772,1.16493,0.000533224,0.000533224,0.000533224
11,338.997,1.2184,1.60373,1.35594,0.97269,0.15194,0.30116,0.19976,1.11986,2.93916,1.2054,0.000573591,0.000573591,0.000573591
12,370.703,1.07278,1.61496,1.32459,0.95461,0.15789,0.31715,0.2,1.28066,2.87769,1.30241,0.000611295,0.000611295,0.000611295
13,403.144,1.1973,1.63335,1.35162,0.9783,0.19336,0.53726,0.38189,1.42821,2.76883,1.42182,0.000646333,0.000646333,0.000646333
14,439.125,1.22696,1.63254,1.39665,0.56425,0.40416,0.56488,0.33877,1.50933,2.62111,1.4658,0.000678707,0.000678707,0.000678707
15,473.182,1.16915,1.55062,1.28275,0.57816,0.73151,0.55085,0.33413,1.52253,2.54547,1.50508,0.000708417,0.000708417,0.000708417
16,508.362,1.10735,1.44959,1.23789,0.57816,0.73151,0.55085,0.33413,1.52253,2.54547,1.50508,0.000735462,0.000735462,0.000735462
17,539.755,1.20209,1.50083,1.26201,0.50004,0.74561,0.78965,0.50915,1.51183,2.5207,1.52401,0.000759843,0.000759843,0.000759843
18,570.329,1.0796,1.55163,1.29363,0.48861,0.74851,0.76496,0.44429,1.43827,2.52328,1.54075,0.000781559,0.000781559,0.000781559
19,601.186,1.16687,1.43277,1.28197,0.48861,0.74851,0.76496,0.44429,1.43827,2.52328,1.54075,0.00080061,0.00080061,0.00080061
20,632.662,1.15313,1.37178,1.31691,0.5277,0.75439,0.53626,0.30774,1.34543,2.4949,1.52026,0.000816997,0.000816997,0.000816997
21,665.071,1.19838,1.52761,1.38675,0.39605,0.76316,0.46428,0.23148,1.48623,2.5884,1.71097,0.000830719,0.000830719,0.000830719
22,695.112,1.17218,1.56604,1.32268,0.39605,0.76316,0.46428,0.23148,1.48623,2.5884,1.71097,0.000841777,0.000841777,0.000841777
23,725.792,1.09172,1.52557,1.25298,0.85337,0.2807,0.44463,0.23808,1.47965,2.48684,1.55989,0.000850171,0.000850171,0.000850171
24,756.918,1.1982,1.67809,1.43694,0.85337,0.2807,0.44463,0.23808,1.47965,2.48684,1.55989,0.000855899,0.000855899,0.000855899
25,788.513,1.10692,1.30245,1.24383,0.91995,0.32217,0.89748,0.61998,1.3936,2.30064,1.39413,0.000858964,0.000858964,0.000858964
26,818.67,1.10606,1.42233,1.32005,0.91995,0.32217,0.89748,0.61998,1.3936,2.30064,1.39413,0.000834333,0.000834333,0.000834333
27,849.764,1.10077,1.3503,1.2455,0.87816,0.32456,0.88759,0.4456,1.27321,2.18478,1.27986,0.000801027,0.000801027,0.000801027
28,878.613,1.05914,1.36942,1.25014,0.87816,0.32456,0.88759,0.4456,1.27321,2.18478,1.27986,0.00076772,0.00076772,0.00076772
29,908.836,1.17779,1.45706,1.37562,0.75614,0.86842,0.90599,0.45667,1.25241,2.04183,1.28707,0.000734414,0.000734414,0.000734414
30,938.134,1.0031,1.29538,1.26663,0.75614,0.86842,0.90599,0.45667,1.25241,2.04183,1.28707,0.000701107,0.000701107,0.000701107
31,969.11,1.06676,1.30862,1.25319,0.69888,0.92982,0.92569,0.45108,1.35549,1.94125,1.39974,0.0006678,0.0006678,0.0006678
32,1000.42,1.07214,1.1906,1.17528,0.69888,0.92982,0.92569,0.45108,1.35549,1.94125,1.39974,0.000634494,0.000634494,0.000634494
33,1029.73,1.0597,1.30239,1.18856,0.69508,0.9452,0.9532,0.44904,1.44601,1.81295,1.49099,0.000601187,0.000601187,0.000601187
34,1059.09,1.06117,1.30847,1.20487,0.69508,0.9452,0.9532,0.44904,1.44601,1.81295,1.49099,0.00056788,0.00056788,0.00056788
35,1087.93,1.11129,1.34367,1.29551,0.79023,0.97368,0.97338,0.53477,1.31642,1.61295,1.36581,0.000534574,0.000534574,0.000534574
